,coin,depositAllEnable,withdrawAllEnable,name,free,locked,freeze,withdrawing,ipoing,ipoable,storage,isLegalMoney,trading,networkList
10,ADADOWN,False,False,ADADOWN,0,0,0,0,0,0,0,False,True,"[{'network': 'ETF', 'coin': 'ADADOWN', 'withdrawIntegerMultiple': '0', 'isDefault': True, 'depositEnable': False, 'withdrawEnable': False, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'ETF', 'resetAddressStatus': False, 'addressRegex': '', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0', 'withdrawMin': '0', 'withdrawMax': '9999999999.99999999', 'minConfirm': 0, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False}]"
11,CDT,False,False,Blox,0,0,0,0,0,0,0,False,False,"[{'network': 'ETH', 'coin': 'CDT', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': False, 'withdrawEnable': False, 'depositDesc': 'The wallet is currently undergoing maintenance. Your funds in transit are safe once confirmed on the blockchain and will be credited shortly after deposits have resumed.', 'withdrawDesc': 'The wallet is currently undergoing maintenance. Withdrawals for this asset will be resumed shortly.', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '138', 'withdrawMin': '276', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
12,SPARTA,False,True,Spartan Protocol,0,0,0,0,0,0,0,False,False,"[{'network': 'BSC', 'coin': 'SPARTA', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': False, 'withdrawEnable': True, 'depositDesc': 'Deposit for this token is not supported, please try other networks.', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': 'The network you have selected is BSC. Please ensure that the withdrawal address supports the Binance Smart Chain network. You will potentially lose your assets if the chosen platform does not support refund of wrongfully deposited assets. Please note that you are withdrawing SPARTAv2 which is subject to a fee burn. For more information, please refer to: ##https://spartanprotocol.medium.com/spartav2-token-fee-burn-97e5441da98e##', 'name': 'BNB Smart Chain (BEP20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '2', 'withdrawMin': '4', 'withdrawMax': '10000000000', 'minConfirm': 15, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
13,SUSD,False,False,sUSD,0,0,0,0,0,0,0,False,False,"[{'network': 'ETH', 'coin': 'SUSD', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': False, 'withdrawEnable': False, 'depositDesc': 'The wallet is currently undergoing maintenance. Your funds in transit are safe once confirmed on the blockchain and will be credited shortly after deposits have resumed.', 'withdrawDesc': 'The wallet is currently undergoing maintenance. Withdrawals for this asset will be resumed shortly.', 'specialTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '15', 'withdrawMin': '30', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
14,FARM,True,True,Harvest Finance,0,0,0,0,0,0,0,False,True,"[{'network': 'BSC', 'coin': 'FARM', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': 'The network you have selected is BSC. Please ensure that the withdrawal address supports the Binance Smart Chain network. You will lose your assets if the chosen platform does not support retrievals.', 'name': 'BNB Smart Chain (BEP20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.0021', 'withdrawMin': '0.0042', 'withdrawMax': '9999999', 'minConfirm': 15, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}, {'network': 'ETH', 'coin': 'FARM', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': False, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.084', 'withdrawMin': '0.17', 'withdrawMax': '9999999', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
15,SDG,True,True,Sudanese Pound,0,0,0,0,0,0,0,True,False,"[{'network': 'FIAT_MONEY', 'coin': 'SDG', 'withdrawIntegerMultiple': '0', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'FIAT', 'resetAddressStatus': False, 'addressRegex': '', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0', 'withdrawMin': '0', 'withdrawMax': '10000000000', 'minConfirm': 0, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False}]"
16,XNO,True,True,Nano,0,0,0,0,0,0,0,False,True,"[{'network': 'NANO', 'coin': 'XNO', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': 'Minimum deposit amount: 0.001 XNO. Any deposits less than the minimum will not be credited or refunded.', 'specialWithdrawTips': '', 'name': 'NANO', 'resetAddressStatus': False, 'addressRegex': '^(xrb_|nano_)[13456789abcdefghijkmnopqrstuwxyz]{60}', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.03', 'withdrawMin': '0.06', 'withdrawMax': '10000000000', 'depositDust': '0.001', 'minConfirm': 1, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 10, 'busy': False}]"
17,AION,True,True,AION,0,0,0,0,0,0,0,False,True,"[{'network': 'AION', 'coin': 'AION', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'Aion', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{64}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.1', 'withdrawMin': '0.2', 'withdrawMax': '9999999999.99999999', 'minConfirm': 60, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 15, 'busy': False}, {'network': 'ETH', 'coin': 'AION', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': False, 'depositEnable': True, 'withdrawEnable': False, 'depositDesc': '', 'withdrawDesc': 'The wallet is currently undergoing maintenance. Withdrawals for this asset will be resumed shortly.', 'specialTips': 'This deposit address supports ERC20 tokens. We will automatically convert your tokens to the Mainnet.', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '79', 'withdrawMin': '158', 'withdrawMax': '9999999999.99999999', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
18,DGB,True,True,DigiByte,0,0,0,0,0,0,0,False,True,"[{'network': 'DGB', 'coin': 'DGB', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'DigiByte', 'resetAddressStatus': False, 'addressRegex': '^[DS][a-km-zA-HJ-NP-Z1-9]{25,34}$|^(dgb1)[0-9A-Za-z]{39,59}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.2', 'withdrawMin': '0.4', 'withdrawMax': '10000000000', 'minConfirm': 10, 'unLockConfirm': 50, 'sameAddress': False, 'estimatedArrivalTime': 10, 'busy': False, 'country': 'BINANCE_BAHRAIN_BSC'}]"
19,ZRX,True,True,0x,0,0,0,0,0,0,0,False,True,"[{'network': 'ETH', 'coin': 'ZRX', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '12', 'withdrawMin': '24', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
