,asset,free,locked
175,CHZ,0.00000000,0.00000000
176,COS,0.00000000,0.00000000
177,ALGO,0.00000000,0.00000000
178,ERD,0.00000000,0.00000000
179,DOGE,0.00000000,0.00000000
180,BGBP,0.00000000,0.00000000
181,DUSK,0.00000000,0.00000000
182,ANKR,0.00000000,0.00000000
183,WIN,0.00000000,0.00000000
184,TUSDB,0.00000000,0.00000000
185,COCOS,0.00000000,0.00000000
186,PERL,0.00000000,0.00000000
187,TOMO,0.00000000,0.00000000
188,BUSD,34.00000000,0.00000000
189,BAND,0.00000000,0.00000000
190,BEAM,0.00000000,0.00000000
191,HBAR,0.00000000,0.00000000
192,XTZ,0.00000000,0.00000000
193,NGN,0.00000000,0.00000000
194,DGB,0.00000000,0.00000000
195,NKN,0.00000000,0.00000000
196,GBP,0.00000000,0.00000000
197,EUR,0.00000000,0.00000000
198,KAVA,0.00000000,0.00000000
199,RUB,0.00000000,0.00000000
200,UAH,0.00000000,0.00000000
201,ARPA,0.00000000,0.00000000
202,TRY,0.00000000,0.00000000
203,CTXC,0.00000000,0.00000000
204,AERGO,0.00000000,0.00000000
205,BCH,0.00000000,0.00000000
206,TROY,0.00000000,0.00000000
207,BRL,0.00000000,0.00000000
208,VITE,0.00000000,0.00000000
209,FTT,0.00000000,0.00000000
210,AUD,0.00000000,0.00000000
211,OGN,0.00000000,0.00000000
212,DREP,0.00000000,0.00000000
213,BULL,0.00000000,0.00000000
214,BEAR,0.00000000,0.00000000
215,ETHBULL,0.00000000,0.00000000
216,ETHBEAR,0.00000000,0.00000000
217,XRPBULL,0.00000000,0.00000000
218,XRPBEAR,0.00000000,0.00000000
219,EOSBULL,0.00000000,0.00000000
220,EOSBEAR,0.00000000,0.00000000
221,TCT,0.00000000,0.00000000
222,WRX,0.00000000,0.00000000
223,LTO,0.00000000,0.00000000
224,ZAR,0.00000000,0.00000000
225,MBL,0.00000000,0.00000000
226,COTI,0.00000000,0.00000000
227,BKRW,0.00000000,0.00000000
228,BNBBULL,0.00000000,0.00000000
229,BNBBEAR,0.00000000,0.00000000
230,HIVE,0.00000000,0.00000000
231,STPT,0.00000000,0.00000000
232,SOL,0.00000000,0.00000000
233,IDRT,0.00,0.00
234,CTSI,0.00000000,0.00000000
235,CHR,0.00000000,0.00000000
